(base) yikai@PauROG:~/repository$ python train_siglip.py --data-dir Flickr8k --text-encoder transformer --epochs 200 --batch-size 64 --output-dir outputs/resnet_transformer_v4_1
/home/yikai/repository/models/transformer_encoder.py:44: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=num_layers)
device=cuda vocab_size=5158 text_encoder=transformer
epoch=066 train_loss=0.0051 val_loss=0.0273 scale=33.55 bias=-12.06 t2i_R@1=19.46 i2t_R@1=21.03 t2i_R@5=41.29 i2t_R@5=41.86 t2i_R@10=51.35 i2t_R@10=52.98
epoch=067 train_loss=0.0052 val_loss=0.0278 scale=33.67 bias=-12.08 t2i_R@1=19.01 i2t_R@1=19.81 t2i_R@5=40.22 i2t_R@5=41.59 t2i_R@10=51.03 i2t_R@10=52.68
epoch=068 train_loss=0.0050 val_loss=0.0275 scale=33.85 bias=-12.11 t2i_R@1=20.00 i2t_R@1=21.15 t2i_R@5=41.29 i2t_R@5=42.90 t2i_R@10=51.99 i2t_R@10=54.50
epoch=069 train_loss=0.0049 val_loss=0.0284 scale=34.03 bias=-12.14 t2i_R@1=19.11 i2t_R@1=21.00 t2i_R@5=41.04 i2t_R@5=42.66 t2i_R@10=51.99 i2t_R@10=54.00
epoch=070 train_loss=0.0051 val_loss=0.0273 scale=34.13 bias=-12.16 t2i_R@1=19.41 i2t_R@1=21.42 t2i_R@5=41.78 i2t_R@5=43.50 t2i_R@10=52.24 i2t_R@10=53.91
epoch=071 train_loss=0.0050 val_loss=0.0294 scale=34.22 bias=-12.19 t2i_R@1=19.11 i2t_R@1=21.33 t2i_R@5=41.36 i2t_R@5=41.74 t2i_R@10=51.74 i2t_R@10=53.16
epoch=072 train_loss=0.0050 val_loss=0.0265 scale=34.37 bias=-12.21 t2i_R@1=20.12 i2t_R@1=21.69 t2i_R@5=42.52 i2t_R@5=43.85 t2i_R@10=53.28 i2t_R@10=54.77
epoch=073 train_loss=0.0047 val_loss=0.0280 scale=34.51 bias=-12.24 t2i_R@1=20.35 i2t_R@1=21.21 t2i_R@5=42.47 i2t_R@5=43.23 t2i_R@10=52.44 i2t_R@10=54.00
epoch=074 train_loss=0.0049 val_loss=0.0275 scale=34.60 bias=-12.26 t2i_R@1=19.68 i2t_R@1=21.90 t2i_R@5=41.19 i2t_R@5=42.24 t2i_R@10=51.30 i2t_R@10=52.92
epoch=075 train_loss=0.0048 val_loss=0.0273 scale=34.71 bias=-12.29 t2i_R@1=20.10 i2t_R@1=22.34 t2i_R@5=43.34 i2t_R@5=44.24 t2i_R@10=53.13 i2t_R@10=54.56
epoch=076 train_loss=0.0046 val_loss=0.0279 scale=34.89 bias=-12.31 t2i_R@1=20.40 i2t_R@1=21.24 t2i_R@5=42.22 i2t_R@5=44.36 t2i_R@10=53.00 i2t_R@10=54.89
epoch=077 train_loss=0.0046 val_loss=0.0290 scale=35.03 bias=-12.34 t2i_R@1=19.88 i2t_R@1=21.57 t2i_R@5=40.44 i2t_R@5=42.45 t2i_R@10=51.45 i2t_R@10=53.64
epoch=078 train_loss=0.0045 val_loss=0.0278 scale=35.21 bias=-12.36 t2i_R@1=20.67 i2t_R@1=21.72 t2i_R@5=42.42 i2t_R@5=44.12 t2i_R@10=52.29 i2t_R@10=54.30
epoch=079 train_loss=0.0045 val_loss=0.0280 scale=35.34 bias=-12.39 t2i_R@1=20.54 i2t_R@1=22.29 t2i_R@5=42.45 i2t_R@5=44.18 t2i_R@10=53.13 i2t_R@10=54.09
epoch=080 train_loss=0.0045 val_loss=0.0293 scale=35.50 bias=-12.42 t2i_R@1=19.80 i2t_R@1=20.41 t2i_R@5=41.51 i2t_R@5=42.60 t2i_R@10=52.41 i2t_R@10=52.80
epoch=081 train_loss=0.0046 val_loss=0.0281 scale=35.58 bias=-12.44 t2i_R@1=19.78 i2t_R@1=21.87 t2i_R@5=42.03 i2t_R@5=43.38 t2i_R@10=51.92 i2t_R@10=54.36
epoch=082 train_loss=0.0045 val_loss=0.0274 scale=35.72 bias=-12.46 t2i_R@1=21.24 i2t_R@1=21.99 t2i_R@5=42.42 i2t_R@5=44.24 t2i_R@10=53.23 i2t_R@10=54.53
epoch=083 train_loss=0.0045 val_loss=0.0278 scale=35.78 bias=-12.49 t2i_R@1=20.37 i2t_R@1=22.32 t2i_R@5=42.67 i2t_R@5=43.94 t2i_R@10=53.03 i2t_R@10=54.09
epoch=084 train_loss=0.0044 val_loss=0.0275 scale=35.90 bias=-12.51 t2i_R@1=21.11 i2t_R@1=21.96 t2i_R@5=42.94 i2t_R@5=44.87 t2i_R@10=53.50 i2t_R@10=55.25
epoch=085 train_loss=0.0043 val_loss=0.0282 scale=36.03 bias=-12.53 t2i_R@1=19.90 i2t_R@1=21.96 t2i_R@5=42.42 i2t_R@5=44.09 t2i_R@10=52.73 i2t_R@10=54.24
epoch=086 train_loss=0.0044 val_loss=0.0295 scale=36.09 bias=-12.56 t2i_R@1=20.35 i2t_R@1=21.42 t2i_R@5=42.47 i2t_R@5=44.84 t2i_R@10=52.66 i2t_R@10=54.47
epoch=087 train_loss=0.0043 val_loss=0.0288 scale=36.23 bias=-12.58 t2i_R@1=21.01 i2t_R@1=22.34 t2i_R@5=42.40 i2t_R@5=43.94 t2i_R@10=53.13 i2t_R@10=53.82
epoch=088 train_loss=0.0043 val_loss=0.0283 scale=36.35 bias=-12.60 t2i_R@1=20.94 i2t_R@1=21.75 t2i_R@5=42.30 i2t_R@5=43.74 t2i_R@10=52.51 i2t_R@10=54.80
epoch=089 train_loss=0.0043 val_loss=0.0304 scale=36.41 bias=-12.63 t2i_R@1=20.37 i2t_R@1=21.30 t2i_R@5=42.35 i2t_R@5=43.53 t2i_R@10=52.51 i2t_R@10=54.21
epoch=090 train_loss=0.0041 val_loss=0.0286 scale=36.54 bias=-12.65 t2i_R@1=20.82 i2t_R@1=22.08 t2i_R@5=42.57 i2t_R@5=43.94 t2i_R@10=53.94 i2t_R@10=55.13
epoch=091 train_loss=0.0041 val_loss=0.0289 scale=36.70 bias=-12.67 t2i_R@1=20.59 i2t_R@1=21.30 t2i_R@5=42.52 i2t_R@5=43.59 t2i_R@10=52.86 i2t_R@10=53.73
epoch=092 train_loss=0.0042 val_loss=0.0288 scale=36.79 bias=-12.69 t2i_R@1=21.46 i2t_R@1=22.14 t2i_R@5=43.29 i2t_R@5=44.33 t2i_R@10=52.71 i2t_R@10=54.65
epoch=093 train_loss=0.0042 val_loss=0.0295 scale=36.84 bias=-12.71 t2i_R@1=20.42 i2t_R@1=20.76 t2i_R@5=41.90 i2t_R@5=43.82 t2i_R@10=51.67 i2t_R@10=54.24
